date,account_id,account_name,datasource,platform,created_at,campaign,campaigngroup_name,creative_name,creativeinfo_name,campaigngroupinfo_status,advertiser_averageordervalue,advertiser_averagepageviewspervisitor,advertiser_completedviewrate,advertiser_completedviews,advertiser_conversionassists,advertiser_conversions,advertiser_costpervisit,advertiser_cpa,advertiser_impressionconversionrate,advertiser_impressions,advertiser_roas,advertiser_roi,advertiser_sitevisitors,advertiser_visits,campaigngroup_completedviewrate,campaigngroup_completedviews,campaigngroup_newsitevisitors,campaigngroup_roas,campaigngroup_roi,campaigngroup_spend,campaigngroup_userconversionrate,campaigngroup_usersreached,campaigngroup_visitconversionrate,campaigngroup_visits,creative_completedviewrate,creative_completedviews,creative_conversions,creative_cpa,creative_impressionconversionrate,creative_newsitevisitors,creative_roas,creative_roi,creative_spend,creative_userconversionrate,creative_usersreached,creative_visitconversionrate,creative_visits,dma_name,dma_averageordervalue,dma_completedviewrate,dma_completedviews,dma_conversions,dma_impressions,impressions,spend,totalcost,source
2025-06-02,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,mntn
2025-01-05,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,mntn
2025-11-16,,,,,,,,1920x1080,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9839,5957,57,3.4113,0.0094,73,0,-1,194.4443,0.0142,4006,0.7308,78,,0,0,0,0,0,0,0,0,mntn
2025-11-16,,,,,,,,,,,0,2.9761,0.9839,5957,0,57,2.4929,3.4113,0.0094,6054,0,-1,75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,mntn
2025-11-16,,,,,,25 BC CTV Fall -001,25 BC CTV Fall -001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9827,431,1,0,-1,14.0263,0,141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,439,14.0263,14.0263,mntn
2025-11-16,,,,,,25 PR CTV Fall-001,25 PR CTV Fall-001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836,798,1,0,-1,26.8251,0.0016,607,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,811,26.8251,26.8251,mntn
2025-11-16,,,,,,25 MO CTV Fall-001,25 MO CTV Fall-001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9712,323,1,0,-1,10.2936,0.0053,189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,333,10.2936,10.2936,mntn
2025-11-16,,,,,,25 OR CTV Fall -001,25 OR CTV Fall -001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9703,446,10,0,-1,15.1822,0.0586,256,1.3636,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,460,15.1822,15.1822,mntn
2025-11-16,,,,,,25 TO CTV Fall - 001,25 TO CTV Fall - 001,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9814,494,3,0,-1,14.9858,0.005,201,0.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,503,14.9858,14.9858,mntn
2025-11-16,,,,,,25 UB Fall Campaign,25 UB Fall Campaign,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9811,481,3,0,-1,15.6281,0.0084,238,0.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,490,15.6281,15.6281,mntn
